DISTRICT.NAME,NEIGHBORHOOD.NAME,WEEKDAY,MONTH,DAY,HOUR,PART.OF.THE.DAY,MILD.INJURIES,SERIOUS.INJURIES,VICTIMS,VEHICLES.INVOLVED,LONGITUDE,LATITUDE
Sant Andreu,Sant Andreu,Thursday,July,27,20,Afternoon,1,0,1,1,2.192242,41.434012
Sant Andreu,Sant Andreu,Friday,April,21,9,Morning,1,0,1,1,2.19216,41.430207
Sant Andreu,Navas,Monday,November,13,18,Afternoon,1,0,1,2,2.186909,41.420327
Sant Andreu,Navas,Monday,May,29,16,Afternoon,1,0,1,2,2.186293,41.419944
Sant Andreu,Navas,Friday,September,8,17,Afternoon,0,0,0,1,2.183887,41.41923
Sant Andreu,Navas,Tuesday,June,20,9,Morning,1,0,1,2,2.188064,41.417678
Sant Andreu,Navas,Sunday,December,24,18,Afternoon,2,0,2,2,2.191268,41.417078
Sant Andreu,Sant Andreu,Wednesday,November,29,10,Morning,0,0,0,1,2.194604,41.430138
Sant Andreu,Sant Andreu,Friday,September,8,17,Afternoon,1,0,1,2,2.195472,41.429284
Sant Andreu,Navas,Wednesday,May,24,20,Afternoon,1,0,1,1,2.181606,41.419897
Sant Andreu,Navas,Sunday,April,30,19,Afternoon,1,0,1,2,2.186598,41.416015
Sant Andreu,Navas,Monday,June,26,15,Afternoon,1,0,1,2,2.189019,41.41711
Sant Andreu,Navas,Monday,June,5,1,Night,1,0,1,2,2.18689,41.415288
Sant Andreu,Navas,Friday,October,20,12,Morning,1,0,1,1,2.187216,41.416484
Sant Andreu,el Congrés i els Indians,Thursday,March,16,11,Morning,1,0,1,1,2.181885,41.421975
Sant Andreu,el Congrés i els Indians,Wednesday,November,8,18,Afternoon,1,0,1,2,2.181148,41.422492
Sant Andreu,Navas,Thursday,December,21,19,Afternoon,1,0,1,2,2.186909,41.420327
Sant Andreu,el Congrés i els Indians,Sunday,April,23,15,Afternoon,0,0,0,2,2.180974,41.421556
Sant Andreu,Sant Andreu,Friday,August,4,23,Night,2,0,2,2,2.183658,41.434136
Sant Andreu,Sant Andreu,Friday,September,15,7,Morning,2,0,2,1,2.183658,41.434136
Sant Andreu,Sant Andreu,Monday,August,7,14,Afternoon,1,0,1,2,2.183658,41.434136
Sant Andreu,Sant Andreu,Thursday,November,16,19,Afternoon,0,0,0,2,2.18941,41.432154
Sant Andreu,Sant Andreu,Saturday,September,16,11,Morning,1,0,1,3,2.190316,41.446638
Sant Andreu,Sant Andreu,Friday,April,7,11,Morning,3,0,3,2,2.186818,41.443914
Sant Andreu,Sant Andreu,Friday,September,8,23,Night,1,0,1,2,2.189605,41.446954
Sant Andreu,Sant Andreu,Saturday,November,4,14,Afternoon,1,0,1,2,2.190828,41.442138
Sant Andreu,Sant Andreu,Thursday,April,6,4,Night,1,0,1,2,2.187551,41.44015
Sant Andreu,Sant Andreu,Saturday,March,11,20,Afternoon,1,0,1,2,2.18826,41.441278
Sant Andreu,Sant Andreu,Saturday,January,14,22,Night,2,0,2,2,2.18827,41.441985
Sant Andreu,Sant Andreu,Wednesday,May,17,13,Morning,2,0,2,2,2.190601,41.446766
Sant Andreu,Sant Andreu,Saturday,December,2,17,Afternoon,1,0,1,2,2.189605,41.446954
Sant Andreu,Sant Andreu,Sunday,July,16,18,Afternoon,2,0,2,2,2.193018,41.442271
Sant Andreu,Sant Andreu,Wednesday,December,27,12,Morning,1,0,1,2,2.188534,41.444581
Sant Andreu,la Trinitat Vella,Wednesday,July,5,9,Morning,1,0,1,2,2.2018,41.392004
Sant Andreu,el Bon Pastor,Saturday,January,21,8,Morning,0,0,0,1,2.20493,41.444642
Sant Andreu,el Bon Pastor,Friday,February,24,16,Afternoon,1,0,1,1,2.194617,41.436666
Sant Andreu,la Trinitat Vella,Thursday,February,2,16,Afternoon,1,0,1,1,2.190706,41.448755
Sant Andreu,la Trinitat Vella,Tuesday,October,3,6,Morning,1,0,1,1,2.190521,41.446929
Sant Andreu,el Bon Pastor,Saturday,September,16,21,Afternoon,3,0,3,2,2.200525,41.439439
Sant Andreu,Baró de Viver,Monday,September,4,8,Morning,1,0,1,3,2.198353,41.442534
Sant Andreu,la Trinitat Vella,Sunday,July,9,23,Night,1,0,1,3,2.188548,41.448795
Sant Andreu,Baró de Viver,Tuesday,October,17,19,Afternoon,2,0,2,2,2.20493,41.444642
Sant Andreu,Baró de Viver,Thursday,January,5,12,Morning,1,0,1,2,2.19356,41.449284
Sant Andreu,Baró de Viver,Tuesday,March,28,14,Afternoon,2,0,2,2,2.19356,41.449284
Sant Andreu,la Trinitat Vella,Thursday,July,27,12,Morning,1,0,1,2,2.189318,41.450916
Sant Andreu,la Trinitat Vella,Saturday,January,7,8,Morning,1,0,1,2,2.193426,41.447055
Sant Andreu,el Bon Pastor,Sunday,April,30,7,Morning,0,0,0,4,2.201973,41.445641
Sant Andreu,la Trinitat Vella,Monday,January,9,12,Morning,1,0,1,1,2.190195,41.451552
Sant Andreu,Sant Andreu,Monday,October,30,17,Afternoon,1,0,1,2,2.188023,41.42872
Sant Andreu,Sant Andreu,Tuesday,October,3,15,Afternoon,0,0,0,1,2.185898,41.428736
Sant Andreu,Sant Andreu,Wednesday,August,2,0,Night,1,0,1,1,2.1898,41.430266
Sant Andreu,la Trinitat Vella,Monday,August,21,11,Morning,1,0,1,1,2.189615,41.451545
Sant Andreu,la Trinitat Vella,Friday,November,3,17,Afternoon,1,0,1,2,2.189294,41.453076
Sant Andreu,Sant Andreu,Thursday,March,16,20,Afternoon,1,0,1,1,2.184417,41.430952
Sant Andreu,el Bon Pastor,Sunday,December,3,20,Afternoon,0,0,0,2,2.201479,41.43417
Sant Andreu,el Bon Pastor,Wednesday,August,16,17,Afternoon,1,0,1,2,2.204697,41.430155
Sant Andreu,el Bon Pastor,Thursday,August,3,14,Afternoon,1,0,1,2,2.202808,41.435282
Sant Andreu,el Bon Pastor,Tuesday,November,7,13,Morning,1,0,1,2,2.204974,41.431011
Sant Andreu,el Bon Pastor,Thursday,August,31,13,Morning,2,0,2,2,2.205896,41.432111
Sant Andreu,el Bon Pastor,Saturday,February,18,14,Afternoon,1,0,1,2,2.205163,41.444756
Sant Andreu,el Bon Pastor,Thursday,December,7,1,Night,2,0,2,1,2.203828,41.445821
Sant Andreu,el Bon Pastor,Monday,February,27,18,Afternoon,1,0,1,2,2.207824,41.436218
Sant Andreu,el Bon Pastor,Monday,April,3,17,Afternoon,1,0,1,2,2.200924,41.437285
Sant Andreu,el Bon Pastor,Monday,December,25,6,Morning,1,0,1,2,2.206096,41.432941
Sant Andreu,el Bon Pastor,Tuesday,June,13,20,Afternoon,0,0,0,2,2.206553,41.438753
Sant Andreu,el Bon Pastor,Monday,November,6,12,Morning,2,0,2,4,2.203828,41.445821
Sant Andreu,el Bon Pastor,Tuesday,July,25,14,Afternoon,1,0,1,1,2.200703,41.43935
Sant Andreu,el Bon Pastor,Friday,November,24,13,Morning,1,0,1,2,2.203162,41.44307
Sant Andreu,el Bon Pastor,Friday,June,2,15,Afternoon,1,0,1,2,2.206034,41.439607
Sant Andreu,el Congrés i els Indians,Friday,May,26,11,Morning,1,0,1,1,2.183972,41.423153
Sant Andreu,la Sagrera,Sunday,April,2,13,Morning,1,0,1,2,2.186229,41.425541
Sant Andreu,la Sagrera,Friday,March,31,17,Afternoon,2,0,2,2,2.186215,41.422607
Sant Andreu,la Sagrera,Friday,March,24,12,Morning,1,0,1,1,2.186215,41.422607
Sant Andreu,la Sagrera,Thursday,May,11,11,Morning,1,0,1,4,2.184705,41.423926
Sant Andreu,el Congrés i els Indians,Friday,January,27,20,Afternoon,1,0,1,2,2.181236,41.424729
Sant Andreu,el Congrés i els Indians,Wednesday,May,17,8,Morning,1,0,1,2,2.177232,41.427793
Sant Andreu,el Congrés i els Indians,Saturday,December,30,11,Morning,1,0,1,1,2.177505,41.424241
